Rank,Title,Rating,Comments
1,肖申克的救赎,9.7,3027115人评价
2,霸王别姬,9.6,2237773人评价
3,阿甘正传,9.5,2255563人评价
4,泰坦尼克号,9.5,2294736人评价
5,千与千寻,9.4,2343692人评价
6,这个杀手不太冷,9.4,2382731人评价
7,美丽人生,9.5,1380678人评价
8,星际穿越,9.4,1959819人评价
9,盗梦空间,9.4,2158459人评价
10,楚门的世界,9.4,1814016人评价
11,辛德勒的名单,9.5,1167616人评价
12,忠犬八公的故事,9.4,1447830人评价
13,海上钢琴师,9.3,1744935人评价
14,三傻大闹宝莱坞,9.2,1935233人评价
15,放牛班的春天,9.3,1370467人评价
16,机器人总动员,9.3,1374739人评价
17,疯狂动物城,9.2,2049584人评价
18,无间道,9.3,1437531人评价
19,控方证人,9.6,615222人评价
20,大话西游之大圣娶亲,9.2,1595599人评价
21,熔炉,9.4,970813人评价
22,教父,9.3,1016548人评价
23,触不可及,9.3,1180113人评价
24,当幸福来敲门,9.2,1580819人评价
25,寻梦环游记,9.1,1780281人评价
26,末代皇帝,9.3,938103人评价
27,龙猫,9.2,1320737人评价
28,怦然心动,9.1,1911419人评价
29,活着,9.3,892766人评价
30,哈利·波特与魔法石,9.2,1263434人评价
31,蝙蝠侠：黑暗骑士,9.2,1111301人评价
32,指环王3：王者无敌,9.3,842401人评价
33,我不是药神,9.0,2194984人评价
34,乱世佳人,9.3,724828人评价
35,飞屋环游记,9.1,1387647人评价
36,素媛,9.3,720150人评价
37,哈尔的移动城堡,9.1,1146072人评价
38,十二怒汉,9.4,522989人评价
39,让子弹飞,9.0,1779486人评价
40,何以为家,9.1,1090740人评价
41,摔跤吧！爸爸,9.0,1631533人评价
42,猫鼠游戏,9.1,1091473人评价
43,天空之城,9.2,928986人评价
44,海蒂和爷爷,9.3,673020人评价
45,鬼子来了,9.3,658313人评价
46,少年派的奇幻漂流,9.1,1401012人评价
47,钢琴家,9.3,680615人评价
48,大话西游之月光宝盒,9.0,1271212人评价
49,指环王2：双塔奇兵,9.2,791175人评价
50,闻香识女人,9.1,936117人评价
51,死亡诗社,9.2,778779人评价
52,绿皮书,8.9,1735117人评价
53,大闹天宫,9.4,463771人评价
54,罗马假日,9.1,985539人评价
55,黑客帝国,9.1,876013人评价
56,指环王1：护戒使者,9.1,887995人评价
57,天堂电影院,9.2,701779人评价
58,教父2,9.3,583179人评价
59,狮子王,9.1,887250人评价
60,辩护人,9.2,616566人评价
61,饮食男女,9.2,655337人评价
62,搏击俱乐部,9.0,889203人评价
63,本杰明·巴顿奇事,9.0,1029275人评价
64,美丽心灵,9.1,801970人评价
65,穿条纹睡衣的男孩,9.2,595463人评价
66,窃听风暴,9.2,590339人评价
67,情书,8.9,1177839人评价
68,两杆大烟枪,9.1,624060人评价
69,西西里的美丽传说,8.9,1020699人评价
70,音乐之声,9.1,632215人评价
71,看不见的客人,8.8,1335366人评价
72,哈利·波特与死亡圣器(下),9.0,877283人评价
73,阿凡达,8.8,1478619人评价
74,拯救大兵瑞恩,9.1,676102人评价
75,飞越疯人院,9.1,568883人评价
76,小鞋子,9.2,430229人评价
77,功夫,8.8,1207443人评价
78,沉默的羔羊,8.9,936357人评价
79,布达佩斯大饭店,8.9,994494人评价
80,禁闭岛,8.9,1028122人评价
81,蝴蝶效应,8.9,983921人评价
82,哈利·波特与阿兹卡班的囚徒,9.0,781016人评价
83,致命魔术,8.9,899765人评价
84,心灵捕手,9.0,753956人评价
85,超脱,9.0,648546人评价
86,低俗小说,8.9,878520人评价
87,摩登时代,9.3,318162人评价
88,春光乍泄,9.0,662263人评价
89,海豚湾,9.3,367046人评价
90,喜剧之王,8.8,1013774人评价
91,美国往事,9.2,433213人评价
92,致命ID,8.9,870244人评价
93,杀人回忆,8.9,760479人评价
94,哈利·波特与密室,8.9,808298人评价
95,红辣椒,9.1,501970人评价
96,加勒比海盗,8.8,899979人评价
97,七宗罪,8.8,980538人评价
98,一一,9.1,429772人评价
99,狩猎,9.1,418613人评价
100,唐伯虎点秋香,8.7,1132999人评价
101,7号房的礼物,8.9,581951人评价
102,被嫌弃的松子的一生,8.8,731045人评价
103,蝙蝠侠：黑暗骑士崛起,8.9,757364人评价
104,甜蜜蜜,8.9,600286人评价
105,爱在黎明破晓前,8.8,723705人评价
106,请以你的名字呼唤我,8.8,761268人评价
107,第六感,8.9,584665人评价
108,超能陆战队,8.7,1064242人评价
109,入殓师,8.9,698322人评价
110,重庆森林,8.8,853315人评价
111,断背山,8.8,733872人评价
112,剪刀手爱德华,8.7,1069271人评价
113,幽灵公主,8.9,551567人评价
114,勇敢的心,8.9,575881人评价
115,寄生虫,8.8,1437939人评价
116,爱在日落黄昏时,8.9,594028人评价
117,菊次郎的夏天,8.9,625051人评价
118,借东西的小人阿莉埃蒂,8.9,582694人评价
119,消失的爱人,8.7,1001929人评价
120,无人知晓,9.1,340281人评价
121,未麻的部屋,9.1,370401人评价
122,阳光灿烂的日子,8.8,642468人评价
123,时空恋旅人,8.8,716711人评价
124,完美的世界,9.1,332239人评价
125,倩女幽魂,8.8,768997人评价
126,天使爱美丽,8.7,979136人评价
127,小森林 夏秋篇,9.0,442737人评价
128,哈利·波特与火焰杯,8.8,705610人评价
129,侧耳倾听,8.9,487051人评价
130,驯龙高手,8.8,792013人评价
131,幸福终点站,8.8,598559人评价
132,一个叫欧维的男人决定去死,8.9,513825人评价
133,教父3,9.0,395465人评价
134,怪兽电力公司,8.8,709913人评价
135,茶馆,9.6,168284人评价
136,新世界,8.9,473289人评价
137,傲慢与偏见,8.7,844690人评价
138,玩具总动员3,8.9,546070人评价
139,小森林 冬春篇,9.0,394623人评价
140,萤火之森,8.9,566583人评价
141,被解救的姜戈,8.8,639250人评价
142,釜山行,8.6,1255579人评价
143,神偷奶爸,8.7,983053人评价
144,色，戒,8.7,868633人评价
145,九品芝麻官,8.7,722835人评价
146,哪吒闹海,9.2,273508人评价
147,告白,8.8,697171人评价
148,玛丽和马克思,9.0,433876人评价
149,喜宴,9.0,387651人评价
150,大鱼,8.8,590916人评价
151,模仿游戏,8.8,676696人评价
152,头脑特工队,8.8,654550人评价
153,头号玩家,8.6,1421940人评价
154,花样年华,8.8,647076人评价
155,射雕英雄传之东成西就,8.7,668857人评价
156,七武士,9.3,209523人评价
157,我是山姆,9.0,352818人评价
158,血战钢锯岭,8.7,810790人评价
159,阳光姐妹淘,8.8,607248人评价
160,惊魂记,9.0,317445人评价
161,恐怖直播,8.7,682488人评价
162,黑客帝国3：矩阵革命,8.8,465637人评价
163,你的名字。,8.5,1470931人评价
164,三块广告牌,8.7,858174人评价
165,电锯惊魂,8.7,563475人评价
166,心迷宫,8.8,558087人评价
167,达拉斯买家俱乐部,8.8,473322人评价
168,疯狂原始人,8.7,870563人评价
169,谍影重重3,8.8,437144人评价
170,小丑,8.7,1054111人评价
171,英雄本色,8.6,565929人评价
172,上帝之城,9.0,312501人评价
173,风之谷,8.9,370408人评价
174,绿里奇迹,8.9,352389人评价
175,背靠背，脸对脸,9.5,149817人评价
176,爱在午夜降临前,8.9,427937人评价
177,心灵奇旅,8.7,1038240人评价
178,海街日记,8.8,474121人评价
179,纵横四海,8.8,445389人评价
180,卢旺达饭店,8.9,344715人评价
181,疯狂的石头,8.6,863079人评价
182,记忆碎片,8.7,629100人评价
183,无间道2,8.8,512647人评价
184,雨中曲,9.1,241339人评价
185,2001太空漫游,8.9,353828人评价
186,小偷家族,8.7,846163人评价
187,岁月神偷,8.7,589348人评价
188,无敌破坏王,8.7,568302人评价
189,忠犬八公物语,9.2,204535人评价
190,荒蛮故事,8.8,463334人评价
191,冰川时代,8.6,643391人评价
192,爆裂鼓手,8.7,618225人评价
193,牯岭街少年杀人事件,8.9,325493人评价
194,恐怖游轮,8.5,911876人评价
195,东京教父,9.0,252423人评价
196,魔女宅急便,8.7,485419人评价
197,大佛普拉斯,8.7,498963人评价
198,贫民窟的百万富翁,8.6,769963人评价
199,遗愿清单,8.7,490287人评价
200,东邪西毒,8.6,598486人评价
201,你看起来好像很好吃,8.9,348340人评价
202,末路狂花,8.9,287209人评价
203,可可西里,8.9,318292人评价
204,城市之光,9.3,156360人评价
205,源代码,8.5,868448人评价
206,黑天鹅,8.6,805801人评价
207,海边的曼彻斯特,8.6,585008人评价
208,波西米亚狂想曲,8.6,638671人评价
209,真爱至上,8.5,763277人评价
210,雨人,8.7,419037人评价
211,青蛇,8.6,550759人评价
212,爱乐之城,8.4,995837人评价
213,初恋这件小事,8.5,1006521人评价
214,疯狂的麦克斯4：狂暴之路,8.7,558593人评价
215,人工智能,8.7,466631人评价
216,芙蓉镇,9.3,156999人评价
217,终结者2：审判日,8.8,356734人评价
218,恋恋笔记本,8.5,702377人评价
219,虎口脱险,8.9,271440人评价
220,新龙门客栈,8.7,466710人评价
221,无耻混蛋,8.7,505370人评价
222,罗生门,8.8,330973人评价
223,崖上的波妞,8.6,528221人评价
224,花束般的恋爱,8.6,694811人评价
225,千钧一发,8.8,318544人评价
226,彗星来的那一夜,8.6,619105人评价
227,高山下的花环,9.5,110062人评价
228,哈利·波特与死亡圣器(上),8.6,615422人评价
229,萤火虫之墓,8.7,417543人评价
230,白日梦想家,8.6,543763人评价
231,黑客帝国2：重装上阵,8.7,424058人评价
232,奇迹男孩,8.6,570270人评价
233,火星救援,8.5,770093人评价
234,二十二,8.7,300677人评价
235,战争之王,8.7,386440人评价
236,血钻,8.7,396584人评价
237,步履不停,8.8,294479人评价
238,千年女优,8.8,287657人评价
239,哈利·波特与凤凰社,8.5,610852人评价
240,房间,8.8,380412人评价
241,魂断蓝桥,8.8,290947人评价
242,谍影重重2,8.7,369409人评价
243,大红灯笼高高挂,8.8,307890人评价
244,蜘蛛侠：平行宇宙,8.6,703036人评价
245,弱点,8.7,328655人评价
246,谍影重重,8.6,448976人评价
247,阿飞正传,8.5,534789人评价
248,朗读者,8.6,467212人评价
249,再次出发之纽约遇见你,8.6,444095人评价
250,隐藏人物,8.9,233379人评价
